id,codigo,titulo,telefono,direccion,latitud,longitud,es_autobanco,es_principal,ciudad,departamento,horario_atencion,estado_aprobacion,tipo_punto_atencion1,tipo_punto_atencion2,servicios_ofertados,tiene_pos
574,78,AGENCIA MONTERO,(591-3) 3633000,CALLE WARNES No 112 - MONTERO,-17.343024295981238,-63.25586557562617,False,False,Montero,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
575,79,AGENCIA WARNES,(591-3) 3633000,"CARRETERA AL NORTE KM. 30, AVENIDA 25 DE MAYO S/N ENTRE CORONEL MERCADO Y RECAREDO RODA",-17.5102472,-63.167575,False,False,Warnes,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
576,80,AGENCIA  PUERTO AGUIRRE,(591-3) 3633000,ZONA FRANCA PUERTO AGUIRRE,-18.9975722,-57.7125556,False,False,Puerto Quijarro,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
577,81,AGENCIA YAPACANI,(591-3) 3633000,"AVENIDA YAPACANI, BARRIO FUJI, DISTRITO 1",-17.291776044035345,-63.84487326883748,False,False,San Juan de Yapacani,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
578,82,SUCURSAL TRINIDAD,(591-3) 4621950,PLAZA BALLIVIÁN (ACERA NORTE) ENTRE C/NICOLÁS SUAREZ Y AV. CIPRIANO BARACE,-14.8344794,-64.9030065,False,True,Trinidad,Beni,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Sucursal,Sucursal,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
579,85,AGENCIA RIBERALTA,(591-3) 4621966,"S/AV. DR. ANTONIO VACA DIEZ S/N, BARRIO LA CRUZ",-10.998379602469834,-66.07506036845581,False,False,Riberalta,Beni,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
580,349,AGENCIA PRADO,(591-4) 4152500,"CCALLE ESPAÑA ESQUINA CALLE LA PAZ NO 689, ZONA EL PRADO",-17.3855167,-66.1580306,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
581,365,AGENCIA SANTA ROSA DEL SARA,(591-3) 3633000,CALLE SARA ESQUINA PLAZA 30 DE AGOSTO,-17.1096556,-63.5986056,False,False,Santa Rosa del Sara,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
582,370,AGENCIA COLCAPIRHUA,(591-4) 4152500,AV. BLANCO GALINDO KM.9 N° E-15 ACERA NORTE ENTRE CLEOMEDES BLANCO Y SUCRE,-17.3906144,-66.2411447,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
584,377,AGENCIA VILLA 1RO DE MAYO,(591-3) 3633000,AV. PRINCIPAL ESQ. CALLE 14 OESTE U.V. 86 Mz. ZO.M18,-17.800625,-63.1353833,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
585,378,AGENCIA RIO SECO,(591-2)2654754,AV. JUAN PABLO II # 3010 A MEDIA CUADRA DE LA CALLE 6,-16.4903556,-68.2070944,False,False,El Alto,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
586,382,AGENCIA MERCADO CAMPESINO,(591-4) 6443951,"CALLE J. PRUDENCIO BUSTILLOS N 242, ZONA MERCADO CAMPESINO",-19.033691568293523,-65.25294184684755,False,False,Sucre,Chuquisaca,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
587,397,AGENCIA SAN CARLOS,(591-3) 3633000,AV. VIRGILIO SERRATE ESQ. CALLE MIGUEL MAGIN CHAVEZ,-17.4079801,-63.7295917,False,False,San Carlos,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
588,407,AGENCIA TIQUIPAYA,(591-4) 4152500,CALLE COCHABAMBA S/N ESQ. AVENIDA REDUCTO,-17.3386222,-66.2212667,False,False,Tiquipaya,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
589,408,AGENCIA SICA SICA,(591-2) 2409040,CALLE LIZARRO S/N DE LA LOCALIDAD DE SICA SICA,-17.3362353977473,-67.7396612856698,False,False,Sica Sica,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
590,420,AGENCIA CUATRO CAÑADAS,(591-3) 3633000,CARRETERA SANTA CRUZ - TRINIDAD ESQ. CALLE JAIME TERCEROS,-17.2679056,-62.5556806,False,False,Cuatro Cañadas,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Agencia Fija,Agencia Fija,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
591,428,CAJA EXTERNA IMCRUZ SCZ,(591-3) 3633000,AVENIDA CRISTOBAL DE MENDOZA Y 2DO ANILLO,-17.7719694,-63.1875833,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%08:30%12:30%14:30%18:30,Sab%09:00%13:00",Aprobado,Oficina Externa,Oficina Externa,"DEPOSITOS Y RETIROS, PAGO DE CREDITOS, SERVICIOS DE COBRANZAS",False
592,429,OFICINA EXTERNA RURAL PUERTO PAILAS,(591-3) 3633000,CARRETERA SANTA CRUZ -TRINIDAD RETEN PUERTO PAILAS,-17.6687306,-62.7899806,False,False,Puerto Pailas,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Oficina Externa,Oficina Externa,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
593,436,AGENCIA NUEVA FERIA ,(591-3) 3633000,AVENIDA BRASIL ESQUINA CALLE 1 ZONA PARQUE INDUSTRIAL LIVIANO,-17.7856778,-63.1557222,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
594,441,AGENCIA VILLA MONTENEGRO,(591-4) 4152500,CONFITAL Km 23 ½ N° 92  ZONA MONTENEGRO  - SIPE SIPE,-17.4449111,-66.3386889,False,False,Villa Montenegro,Cochabamba,Lun-Vie%09:00%14:00,Aprobado,Oficina Externa,Oficina Externa,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
595,443,AGENCIA VILLA BOLIVAR D,(591-2) 2409040,"AV. VISCARRA NRO.106, MERCADO NUEVA ALIANZA",-16.523698536011864,-68.1720918416977,False,False,La Paz,La Paz,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
596,471,AGENCIA UYUNI,(591-2)26933764  ,AVENIDA POTOSI S/N ENTRE CALLE COLOMBIA Y CALLE SANTA CRUZ,-20.4601056,-66.82155,False,False,Uyuni,Potosí,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"""OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS""",False
597,473,OFICINA EXTERNA SAGRADO CORAZÓN,(591-3) 3633000,AVENIDA SANTA CRUZ ESQUINA CALLE BOLIVAR COMUNIDAD SAGRADO CORAZON,-16.8483056,-63.4299389,False,False,Sagrado Corazón,Santa Cruz,"Lun-Vie%09:00%12:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Oficina Externa,Oficina Externa,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
598,474,OFICINA EXTERNA SAN ISIDRO,(591-4) 6642433,"CARRETERA ANTIGUA A SANTA CRUZ S/N, LOCALLIDAD DE SAN ISIDRO",-21.9831556,-63.6639667,False,False,San Isidro,Tarija,Lun-Vie%09:00%14:00,Aprobado,Oficina Externa,Oficina Externa,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
599,476,OFICINA EXTERNA JOROCHITO,(591-3) 3633000,"CARRETERA ANTIGUA COCHABAMBA, UV. 41, MZ. 16, LOTE 7, COMUNIDAD JOROCHITO MUNICIPIO EL TORNO",-18.5057694,-63.4278917,False,False,Jorochito,Santa Cruz,Lun-Vie%09:00%14:00,Aprobado,Oficina Externa,Oficina Externa,"ENTEL, NUEVATEL, TELECEL, IMPUESTOS RUAT VEH. RUAT INM. RUAT, PAT. BTS, DOLEX, CAIXA",False
600,478,AGENCIA VILLA EL CARMEN DE CALUYO,(591-2) 2409040,"URBANIZACIÓN VILLA EL CARMEN DE CALUYO, MANZANO 8, NRO. DE LOTE 3-4, CALLE JOSÉ BALLIVIÁN",-16.7884528,-68.1367611,False,False,Villa el Carmen Caluyo,La Paz,Lun-Vie%09:00%14:00,Aprobado,Oficina Externa,Oficina Externa,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
601,489,OFICINA EXTERNA - NIBOL,(591-3) 3633000,AV. CRISTO REDENTOR KM. 10 (OFICINAS DE NIBOL),-17.6845418,-63.1608994,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%08:30%16:30,Sab%08:30%12:30",Aprobado,Oficina Externa,Oficina Externa,"DEPOSITOS Y RETIROS; PAGO DE SERVICIOS, PAGO DE TARJETAS DE CREDITO PAGO DE PRESTAMOS, TRANSFERENCIAS ENTRE PROPIAS Y A TERCEROS",False
602,491,PUNTO PROMOCIONAL IMCRUZ LA PAZ,(591-2) 2409040,AV. 20 DE OCTUBRE ESQ CAMPOS N° 2656,-16.5130056,-68.1237833,False,False,La Paz,La Paz,"Lun-Vie%09:00%17:00,Sab%09:00%12:30",Aprobado,Punto Promocional Fijo,Punto Promocional Fijo,INFORMACION DE PRODUCTOS Y SERVICIOS,False
605,509,AGENCIA 6 DE MARZO,(591-2) 2409040,AV. 6 DE MARZO N° 402 ESQ. C. 4 MANZANA N° 16,-16.5086778,-68.164175,False,False,El Alto,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
606,528,OFICINA EXTERNA IMCRUZ CBB,(591-4) 4122500,AV. AMERICA N° 336 ENTRE AV. GUALBERTO VILLARROEL Y AV. SANTA CRUZ ,-17.3730722,-66.1584861,False,False,Cochabamba,Cochabamba,"Lun-Vie%08:30%12:30%14:00%18:00,Sab%09:00%13:00",Aprobado,Oficina Externa,Oficina Externa,"DEPÓSITOS Y RETIROS DE CUENTAS, RECIBIR PAGOS DE CRÉDITOS, COMPRA Y VENTA DE MONEDA EXTRANJERA Y PRESTAR SERVICIOS DE COBRANZA A CLIENTES Y USUARIOS POR CUENTA DE INSTITUCIONES PÚBLICAS O EMPRESAS PRIVADAS.",False
607,571,AGENCIA LAS BANDERAS,(591-2) 6228085,AVENIDA LAS BANDERAS ENTRE AVENIDA CIRCUNVALACIÓN Y CALLE CÁRDENAS NRO 2,-19.5701901,-65.7549629,False,False,Potosí,Potosí,Lun-Sab%09:00%16:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
608,572,AGENCIA  LAS BRISAS II,(591-3) 3633000,"AV.CRISTO REDENTOR Y CUARTO ANILLO S/N, LAS BRISAS CENTRO COMERCIAL, PISO 1",-17.7495256,-63.175834,False,False,Santa Cruz de la Sierra,Santa Cruz,Lun-Dom%12:00%19:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
609,653,AGENCIA SAN VICENTE,(591-2) 6228085,MINA SAN VICENTE EN EL MUNICIPIO DE ATOCHA,-21.2678666,-66.3159375,False,False,Atocha,Potosí,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
610,654,NIBOL 2  SC,(591-3) 3633550,"AVENIDA URUGUAY ESQUINA CALLE PEDRO ANTELO S/N, UV. 2, MZ, 5",-17.7754326,-63.1743377,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%08:30%16:30,Sab%09:00%13:00",Aprobado,Oficina Externa,Oficina Externa,"DEPOSITOS Y RETIROS, PAGO DE CREDITOS, SERVICIOS DE COBRANZAS (ENTEL, NUEVATEL Y OTROS)",False
611,655,PUNTO PROMOCIONAL IMCRUZ SCZ,(591-3) 3633000,AVENIDA CRISTOBAL DE MENDOZA Y 2DO ANILLO,-17.7719787,-63.1878044,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%12:30%15:00%19:00,Sab%09:00%13:00",Aprobado,Punto Promocional Fijo,Punto Promocional Fijo,INFORMACIÓN DE PRODUCTOS Y SERVICIOS,False
613,663,CARMAX SCZ,(591-3) 3633000,SEGUNDO ANILLO DE LA AVENIDA BUSCH # 820,-17.7732302,-63.1927536,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%12:30%14:30%18:30,Sab%10:00%13:00",Aprobado,Punto Promocional Fijo,Punto Promocional Fijo,INFORMACION DE PRODUCTOS Y SERVICIOS,False
615,667,FINNING EL ALTO,(591-2) 2409040,CARRETERA A ORURO KM. 4 – EL ALTO,-16.5327777,-68.1728092,False,False,El Alto,La Paz,Lun-Vie%08:30%12:30%13:30%17:15,Aprobado,Oficina Externa,Oficina Externa,"DEPÓSITOS Y RETIROS DE CUENTAS, RECIBIR PAGOS DE CRÉDITOS, COMPRA Y VENTA DE MONEDA EXTRANJERA Y PRESTAR SERVICIOS DE COBRANZA A CLIENTES Y USUARIOS POR CUENTA DE INSTITUCIONES PÚBLICAS O EMPRESAS PRIVADAS.",False
616,684,CAJA EXTERNA IMCRUZ CBBA,(591-4) 4152500,AV. GABRIEL R. MORENO ESQ. TADEO HAENKE 00001,-17.3822123,-66.1755565,False,False,Cochabamba,Cochabamba,"Lun-Vie%08:30%12:30%14:00%18:00,Sab%09:00%13:00",Aprobado,Oficina Externa,Oficina Externa,INFORMACION DE PRODUCTOS Y SERVICIOS,False
617,686,CAJA EXTERNA GUABIRA,(591-3) 3633309,GUABIRA MZ 000,-17.3152569,-63.262662,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%08:00%12:00%14:00%17:00,Sab%08:00%12:00",Aprobado,Oficina Externa,Oficina Externa,"DEPOSITOS Y RETIROS, PAGO DE CREDITOS, SERVICIOS DE COBRANZAS (ENTEL, NUEVATEL Y OTROS)",False
619,869,AGENCIA AMÉRICA,(591-4) 4152500,AV. AMÉRICA NRO. E-0348,-17.3729694,-66.1581583,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
620,873,SUCURSAL COBIJA,(591-8) 8422662,"AV. 9 DE FEBRERO NRO 157, ZONA CENTRO",-11.0194639,-68.7561306,False,True,Cobija,Pando,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
621,878,AGENCIA LA CEJA,(591-2)2409040,CALLE 2 NRO. 7 VILLA BOLÍVAR A,-16.5059833,-68.163825,False,False,El Alto,La Paz,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
622,880,AGENCIA SENKATA,(591-2)2409040,"CARRETERA A ORURO N°3, MANZANO R, URBANIZACIÓN PANORÁMICA",-16.5796694,-68.1850028,False,False,El Alto,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
623,883,AGENCIA SAN MARTIN,(591-4) 4152500,CALLE MONTES NRO. 385 CASI ESQUINA 25 DE MAYO,-17.4005778,-66.1542833,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
624,884,AGENCIA PUNATA,(591 4)  457728,CALLE RAFAEL URQUIDI ESQUINA SUCRE S/N,-17.545,-65.8367858,False,False,Punata,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
625,885,AGENCIA SACABA,(591-4) 4152500,CALLE CORONEL SÁNCHEZ S/N ENTRE CALLES SUCRE E INGAVI ,-17.4048472,-66.0402083,False,False,Sacaba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
626,886,AGENCIA TARIJA MERCADO CAMPESINO,(591-6)6642433,"AV. PANAMERICANA N°1549, BARRIO LUIS PIZARRO",-21.5226667,-64.7414861,False,False,Tarija,Tarija,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACION Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA, GIROS NACIONALES Y DEL EXTERIOR, PAGO DE IMPUESTOS, COMPRA Y VENTA DE DIVISAS",False
